Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery_Cell,
C1,0805,1,4.7u,
C2,0603,1,22uF,
"D1, D2",D_SMA_Handsoldering,2,D_Schottky,
D3,0805,1,LED,
F1,1206,1,Polyfuse,
J1,CONN_10118192-0002LF_AMP,1,USB_B_Micro,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,USB_A_Molex_67643_Horizontal,1,USB_A,
L1,TMPA 1005SV-4R7MN-D,1,4.7u,
LOGO1,ieee,1,Logo_Open_Hardware_Small,
R1,0603,1,91k,
"R2, R4, R5",0805,3,10k,
R3,0603,1,220,
U1,SOT-23-6,1,TLV61070ADBV,
