Designator,Mid X,Mid Y,Rotation,Layer
BT1,90.932,-109.215,0.0,top
C1,105.918,-102.87,270.0,top
C2,113.03,-108.458,180.0,top
D1,99.822,-108.712,270.0,top
D2,99.822,-97.028,90.0,top
D3,133.858,-93.726,90.0,top
F1,104.394,-99.314,180.0,top
J1,90.5476,-100.335,270.0,top
J2,113.06,-118.364,0.0,top
J3,126.901,-106.68,90.0,top
L1,113.792,-95.758,0.0,top
R1,110.236,-106.68,90.0,top
R2,105.918,-108.204,270.0,top
R3,129.54,-92.71,0.0,top
R4,108.996,-111.76,0.0,top
R5,116.616,-111.76,180.0,top
U1,113.284,-104.394,90.0,top
